station_id,num_bikes_available,vehicle_types_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,Reported_Time,Hour,Day_of_Week,Month
109,29,"[{'vehicle_type_id': 'mechanical', 'count': 20}, {'vehicle_type_id': 'electrical', 'count': 9}]",0,0,0,True,False,True,1786672977,2026-08-14 03:02:57+01:00,3,4,8
110,18,"[{'vehicle_type_id': 'mechanical', 'count': 15}, {'vehicle_type_id': 'electrical', 'count': 3}]",0,22,0,True,False,True,1786673008,2026-08-14 03:03:28+01:00,3,4,8
111,7,"[{'vehicle_type_id': 'mechanical', 'count': 4}, {'vehicle_type_id': 'electrical', 'count': 3}]",0,33,0,True,False,True,1786672976,2026-08-14 03:02:56+01:00,3,4,8
112,30,"[{'vehicle_type_id': 'mechanical', 'count': 20}, {'vehicle_type_id': 'electrical', 'count': 10}]",0,0,0,True,False,True,1786672985,2026-08-14 03:03:05+01:00,3,4,8
113,2,"[{'vehicle_type_id': 'mechanical', 'count': 1}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,38,0,True,False,True,1786759379,2026-08-15 03:02:59+01:00,3,5,8
114,2,"[{'vehicle_type_id': 'mechanical', 'count': 1}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,38,0,True,False,True,1786672983,2026-08-14 03:03:03+01:00,3,4,8
115,30,"[{'vehicle_type_id': 'mechanical', 'count': 23}, {'vehicle_type_id': 'electrical', 'count': 7}]",0,0,0,True,False,True,1786759368,2026-08-15 03:02:48+01:00,3,5,8
116,2,"[{'vehicle_type_id': 'mechanical', 'count': 2}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,28,0,True,False,True,1786759377,2026-08-15 03:02:57+01:00,3,5,8
117,0,"[{'vehicle_type_id': 'mechanical', 'count': 0}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,40,0,True,False,True,1786672977,2026-08-14 03:02:57+01:00,3,4,8
118,0,"[{'vehicle_type_id': 'mechanical', 'count': 0}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,0,0,False,False,False,1450155600,2015-12-15 05:00:00+00:00,5,1,12
